State,Make/Model,Model Year,Thefts
South Dakota,Chevrolet Impala,2004,24
South Dakota,Dodge Pickup (Full Size),2001,23
South Dakota,Honda Civic,1996,23
South Dakota,GMC Pickup (Full Size),1994,22
South Dakota,Chevrolet Malibu,2003,20
South Dakota,Chevrolet Pickup (Small Size),1997,17
South Dakota,Ford Taurus,2006,17
South Dakota,Jeep Cherokee/Grand Cherokee,1999,17
Tennessee,Chevrolet Pickup (Full Size),1997,693
Tennessee,Ford Pickup (Full Size),2004,468
Tennessee,Honda Accord,1996,267
Tennessee,Nissan Altima,2005,215
Tennessee,Chevrolet Impala,2007,213
Tennessee,GMC Pickup (Full Size),1996,201
Tennessee,Honda Civic,2000,198
Tennessee,Nissan Maxima,1997,188
Tennessee,Toyota Camry,2007,188
Tennessee,Jeep Cherokee/Grand Cherokee,2000,178
Texas,Ford Pickup (Full Size),2006,"7,897"
Texas,Chevrolet Pickup (Full Size),2004,"6,158"
Texas,Dodge Pickup (Full Size),2004,"2,898"
Texas,Honda Accord,1997,"1,626"
Texas,GMC Pickup (Full Size),2015,"1,450"
Texas,Honda Civic,2000,"1,371"
Texas,Chevrolet Tahoe,2004,"1,148"
Texas,Toyota Camry,2014,"1,030"
Texas,Nissan Altima,2012,957
Texas,Chevrolet Impala,2007,898
Utah,Honda Accord,1997,938
Utah,Honda Civic,1998,915
Utah,Subaru Legacy,1996,262
Utah,Ford Pickup (Full Size),2006,238
Utah,Chevrolet Pickup (Full Size),2004,225
Utah,Dodge Pickup (Full Size),2012,117
Utah,Subaru Impreza,1997,106
Utah,Acura Integra,1995,103
Utah,Jeep Cherokee/Grand Cherokee,1996,102
Utah,Nissan Altima,1997,97
Vermont,Chevrolet Pickup (Full Size),2001,15
Vermont,Ford Pickup (Full Size),2010,8
Vermont,Honda Accord,2002,8
Vermont,Hyundai Elantra,2015,7
Vermont,Honda Civic,2005,6
Vermont,Subaru Legacy,1999,6
Vermont,Ford Pickup (Small Size),2002,5
Vermont,GMC Pickup (Full Size),2007,5
Vermont,Nissan Sentra,2012,5
Vermont,Subaru Impreza,2002,5
Virginia,Honda Accord,2002,266
Virginia,Ford Pickup (Full Size),2004,205
Virginia,Honda Civic,2013,200
Virginia,Toyota Camry,2014,181
Virginia,Nissan Altima,2015,162
Virginia,Chevrolet Pickup (Full Size),2003,144
Virginia,Toyota Corolla,2013,140
Virginia,Ford Explorer,2002,119
Virginia,Jeep Cherokee/Grand Cherokee,2001,107
Virginia,Chevrolet Impala,2006,105
Washington,Honda Accord,1996,"3,757"
Washington,Honda Civic,1998,"3,113"
Washington,Ford Pickup (Full Size),2004,745
Washington,Acura Integra,1994,640
Washington,Toyota Camry,1989,602
Washington,Subaru Legacy,1996,599
Washington,Chevrolet Pickup (Full Size),1999,562
Washington,Jeep Cherokee/Grand Cherokee,1994,362
Washington,Toyota Corolla,2010,332
Washington,Nissan Sentra,1997,296
West Virginia,Ford Pickup (Full Size),2003,87
West Virginia,Chevrolet Pickup (Full Size),2000,76
West Virginia,Jeep Cherokee/Grand Cherokee,1996,36
West Virginia,Dodge Pickup (Full Size),2003,29
West Virginia,Chevrolet Pickup (Small Size),1999,29
West Virginia,Chevrolet Impala,2006,24
West Virginia,Toyota Camry,2014,20
West Virginia,Ford Taurus,1995,19
West Virginia,GMC Pickup (Full Size),2011,18
West Virginia,Chevrolet Cavalier,2002,17
Wisconsin,Dodge Caravan,2002,"1,035"
Wisconsin,Honda Civic,1998,470
Wisconsin,Honda Accord,1997,450
Wisconsin,Chrysler Town & Country,2002,313
Wisconsin,Chevrolet Impala,2007,232
Wisconsin,Dodge Stratus,2002,209
Wisconsin,Toyota Camry,2007,191
Wisconsin,Chevrolet Malibu,2015,179
Wisconsin,Dodge Intrepid,2002,179
Wisconsin,Honda CR-V,2000,172
Wyoming,Chevrolet Pickup (Full Size),2007,32
Wyoming,Ford Pickup (Full Size),2000,29
Wyoming,Dodge Pickup (Full Size),2004,13
Wyoming,GMC Pickup (Full Size),2007,10
Wyoming,Jeep Cherokee/Grand Cherokee,2000,10
Wyoming,Dodge Durango,2002,9
Wyoming,Toyota Camry,1997,9
Wyoming,GMC Yukon,2002,8
Wyoming,Honda Accord,1997,8
Wyoming,Chevrolet Cavalier,2003,6
